------------------------------------------------
|VLAN |    DEPARTMENTS     |      NETWORK      |
|-----|--------------------|-------------------|
|  10 |          IT        |  192.168.10.0/24  |
|  20 |    EXECUTIVES      |  192.168.20.0/24  |
|  30 |          HR        |  192.168.30.0/24  |
|  40 |       FINANCE      |  192.168.40.0/24  |
|  50 |         SALES      |  192.168.50.0/24  |
|  60 |    ENGINEERING     |  192.168.60.0/24  |
|  70 |          DMZ       |  192.168.70.0/24  |
|  80 |         GUEST      |  192.168.70.0/24  |
------------------------------------------------
